# TIC   vsini   r   prot_ls   prot_cat   temperature   logg
7738623  35.9   0.911489 0.78655587 0.786900  4206 4.33811
11182 nan 0.3694 0.9728 nan 3241.0 4.8552
33905 nan 0.3712 24.0123 nan 3394.0 4.8535
67228 nan 1.4638 5.1805 nan 5484.0 NaN
70111 nan 0.4804 0.5215 nan 3434.0 4.7546
82066 nan 1.6322 20.2367 1217.9926 7232.0 4.2220
91961 nan 0.4160 0.8798 nan nan 4.8397
96585 nan 0.3010 24.0123 nan nan 4.9496
102723 nan 0.4155 4.0513 nan 3421.0 4.8125
134947 nan 0.3346 1.3495 nan 3286.0 4.8893
139201 nan 1.3262 24.0122 nan 5679.0 4.1972
141937 nan 0.4788 2.8233 nan 3317.0 4.7560
146287 nan 0.3929 3.4048 nan 3404.0 4.8332
590241 nan nan 0.8758 nan nan NaN
593228 nan 0.4660 4.8020 nan 3356.0 4.7673
593230 nan 0.5726 6.8546 nan 3806.0 4.6746
612870 nan 0.2514 3.2789 nan 3195.0 4.9844
627018 nan 0.4162 0.8442 nan 3380.0 4.8119
671393 nan 0.5482 0.4420 nan 3096.0 4.6955
672624 nan 1.6337 0.5529 nan 6343.0 4.1110
675056 nan 1.0105 9.6195 nan 5533.0 4.4158
675445 nan 4.4689 10.7337 nan 4490.0 NaN
710490 nan 2.5572 1.1944 nan 7517.0 3.8606
737327 nan 1.3492 1.6287 nan 5872.0 4.2044
770004 nan 4.2590 4.9790 nan 7257.0 3.3916
800254 nan 0.5696 2.4397 nan 3411.0 4.6771
827160 nan 80.7778 23.9111 nan 3743.0 NaN
893123 nan 0.4280 4.0504 nan 3420.0 4.8012
943068 nan 0.1500 0.3957 nan nan 5.1431
975989 nan 0.5025 1.7447 nan 3376.0 4.7352
998051 nan 0.2728 2.8402 nan 3209.0 4.9572
1006569 nan 0.7455 6.0751 nan 4020.25 4.4925
1007010 nan 0.3995 9.5219 nan 3161.0 4.8271
1008056 nan 0.6720 2.5149 nan 3635.0 4.5918
1009235 nan 0.3889 5.9846 nan 3374.0 4.8369
1019692 nan 0.2907 0.9548 nan 3271.0 4.9361
1028614 nan 1.4749 3.2779 nan 5573.55 4.0931
1028751 nan 2.7628 22.2671 nan 6801.18 3.7197
1031299 17.6 0.9567 1.4372 nan 3350.0 NaN
1042982 nan 0.1261 9.9031 nan 2811.0 5.2425
1043374 nan 1.5488 1.3206 nan 6773.0 4.2201
1043986 nan 1.0475 4.4282 nan 5802.45 4.4148
1045149 nan 1.5146 21.3152 nan 6342.82 4.1778
1045298 nan 3.1077 0.7316 nan 5744.0 3.4660
1045390 nan 0.9603 14.0124 nan 5688.77 4.4776
1066927 nan 0.7593 6.1185 nan 4983.0 4.5910
1097888 nan 1.7914 12.2746 nan 5816.3 3.9512
1111838 nan 1.1227 15.9619 nan 6090.7 4.3956
1111971 nan 0.6602 8.9460 nan 4257.4 4.6248
1112837 nan 0.9262 19.4597 nan 5369.94 4.4731
1112868 nan 1.8502 23.6479 nan 6177.0 3.9755
1114345 nan 1.3403 6.3954 nan nan NaN
1117953 nan 1.3007 10.8290 nan 5877.78 4.2371
1119071 nan 9.2866 1.6539 nan 4814.0 NaN
